YYYY-MM-DD;hh:mm;Original;Calculated;Flag
1-12-1927;--:--;-999;-999;-999
2-12-1927;--:--;-999;-999;-999
3-12-1927;--:--;-999;-999;-999
4-12-1927;--:--;-999;-999;-999
5-12-1927;--:--;-999;-999;-999
6-12-1927;--:--;-999;-999;-999
7-12-1927;--:--;-999;-999;-999
8-12-1927;--:--;-999;-999;-999
9-12-1927;--:--;-999;-999;-999
10-12-1927;--:--;-999;-999;-999
11-12-1927;--:--;131900;131900;-999
12-12-1927;--:--;132650;132650;-999
13-12-1927;--:--;133250;133250;-999
14-12-1927;--:--;132950;132950;-999
15-12-1927;--:--;132650;132650;-999
16-12-1927;--:--;132500;132500;-999
17-12-1927;--:--;132500;132500;-999
18-12-1927;--:--;132650;132650;-999
19-12-1927;--:--;132350;132350;-999
20-12-1927;--:--;132350;132350;-999
21-12-1927;--:--;133100;133100;-999
22-12-1927;--:--;133400;133400;-999
23-12-1927;--:--;133550;133550;-999
24-12-1927;--:--;134000;134000;-999
25-12-1927;--:--;133850;133850;-999
26-12-1927;--:--;133700;133700;-999
27-12-1927;--:--;133850;133850;-999
28-12-1927;--:--;133850;133850;-999
29-12-1927;--:--;133400;133400;-999
30-12-1927;--:--;132350;132350;-999
31-12-1927;--:--;132050;132050;-999
1-1-1928;--:--;130400;130400;-999
2-1-1928;--:--;129800;129800;-999
3-1-1928;--:--;129500;129500;-999
4-1-1928;--:--;129200;129200;-999
5-1-1928;--:--;129500;129500;-999
6-1-1928;--:--;129350;129350;-999
7-1-1928;--:--;129500;129500;-999
8-1-1928;--:--;130250;130250;-999
9-1-1928;--:--;129650;129650;-999
10-1-1928;--:--;131750;131750;-999
11-1-1928;--:--;132800;132800;-999
12-1-1928;--:--;133700;133700;-999
13-1-1928;--:--;133850;133850;-999
14-1-1928;--:--;133850;133850;-999
15-1-1928;--:--;133700;133700;-999
16-1-1928;--:--;134750;134750;-999
17-1-1928;--:--;134900;134900;-999
18-1-1928;--:--;135500;135500;-999
19-1-1928;--:--;136400;136400;-999
20-1-1928;--:--;136700;136700;-999
21-1-1928;--:--;137250;137250;-999
22-1-1928;--:--;137750;137750;-999
23-1-1928;--:--;138500;138500;-999
24-1-1928;--:--;139000;139000;-999
25-1-1928;--:--;139750;139750;-999
26-1-1928;--:--;140250;140250;-999
27-1-1928;--:--;140625;140625;-999
28-1-1928;--:--;141000;141000;-999
29-1-1928;--:--;141500;141500;-999
30-1-1928;--:--;141500;141500;-999
31-1-1928;--:--;140750;140750;-999
1-2-1928;--:--;140875;140875;-999
2-2-1928;--:--;140875;140875;-999
3-2-1928;--:--;141500;141500;-999
4-2-1928;--:--;142000;142000;-999
5-2-1928;--:--;141375;141375;-999
6-2-1928;--:--;143000;143000;-999
7-2-1928;--:--;143600;143600;-999
8-2-1928;--:--;144200;144200;-999
9-2-1928;--:--;145200;145200;-999
10-2-1928;--:--;146000;146000;-999
11-2-1928;--:--;147125;147125;-999
12-2-1928;--:--;147875;147875;-999
13-2-1928;--:--;148250;148250;-999
14-2-1928;--:--;148950;148950;-999
15-2-1928;--:--;150000;150000;-999
16-2-1928;--:--;150900;150900;-999
17-2-1928;--:--;151750;151750;-999
18-2-1928;--:--;152500;152500;-999
19-2-1928;--:--;153500;153500;-999
20-2-1928;--:--;155400;155400;-999
21-2-1928;--:--;157150;157150;-999
22-2-1928;--:--;158500;158500;-999
23-2-1928;--:--;160700;160700;-999
24-2-1928;--:--;162550;162550;-999
25-2-1928;--:--;163950;163950;-999
26-2-1928;--:--;166125;166125;-999
27-2-1928;--:--;167925;167925;-999
28-2-1928;--:--;169500;169500;-999
29-2-1928;--:--;169775;169775;-999
1-3-1928;--:--;170875;170875;-999
2-3-1928;--:--;171975;171975;-999
3-3-1928;--:--;173350;173350;-999
4-3-1928;--:--;173900;173900;-999
5-3-1928;--:--;175000;175000;-999
6-3-1928;--:--;177275;177275;-999
7-3-1928;--:--;178575;178575;-999
8-3-1928;--:--;180200;180200;-999
9-3-1928;--:--;182200;182200;-999
10-3-1928;--:--;183950;183950;-999
11-3-1928;--:--;185350;185350;-999
12-3-1928;--:--;186400;186400;-999
13-3-1928;--:--;187800;187800;-999
14-3-1928;--:--;187800;187800;-999
15-3-1928;--:--;188500;188500;-999
16-3-1928;--:--;189625;189625;-999
17-3-1928;--:--;191125;191125;-999
18-3-1928;--:--;193000;193000;-999
19-3-1928;--:--;195250;195250;-999
20-3-1928;--:--;196400;196400;-999
21-3-1928;--:--;199200;199200;-999
22-3-1928;--:--;200000;200000;-999
23-3-1928;--:--;204000;204000;-999
24-3-1928;--:--;206400;206400;-999
25-3-1928;--:--;208000;208000;-999
26-3-1928;--:--;211600;211600;-999
27-3-1928;--:--;213600;213600;-999
28-3-1928;--:--;215200;215200;-999
29-3-1928;--:--;216000;216000;-999
30-3-1928;--:--;216800;216800;-999
31-3-1928;--:--;217600;217600;-999
1-4-1928;--:--;218400;218400;-999
2-4-1928;--:--;220000;220000;-999
3-4-1928;--:--;220000;220000;-999
4-4-1928;--:--;220900;220900;-999
5-4-1928;--:--;221800;221800;-999
6-4-1928;--:--;223150;223150;-999
7-4-1928;--:--;224500;224500;-999
8-4-1928;--:--;225400;225400;-999
9-4-1928;--:--;225850;225850;-999
10-4-1928;--:--;225850;225850;-999
11-4-1928;--:--;226750;226750;-999
12-4-1928;--:--;226750;226750;-999
13-4-1928;--:--;225850;225850;-999
14-4-1928;--:--;225850;225850;-999
15-4-1928;--:--;226300;226300;-999
16-4-1928;--:--;226750;226750;-999
17-4-1928;--:--;227200;227200;-999
18-4-1928;--:--;227650;227650;-999
19-4-1928;--:--;229000;229000;-999
20-4-1928;--:--;229000;229000;-999
21-4-1928;--:--;229900;229900;-999
22-4-1928;--:--;230350;230350;-999
23-4-1928;--:--;233950;233950;-999
24-4-1928;--:--;235300;235300;-999
25-4-1928;--:--;237100;237100;-999
26-4-1928;--:--;237100;237100;-999
27-4-1928;--:--;237550;237550;-999
28-4-1928;--:--;237550;237550;-999
29-4-1928;--:--;237550;237550;-999
30-4-1928;--:--;238000;238000;-999
1-5-1928;--:--;238500;238500;-999
2-5-1928;--:--;239000;239000;-999
3-5-1928;--:--;240000;240000;-999
4-5-1928;--:--;241000;241000;-999
5-5-1928;--:--;242500;242500;-999
6-5-1928;--:--;243000;243000;-999
7-5-1928;--:--;243500;243500;-999
8-5-1928;--:--;243500;243500;-999
9-5-1928;--:--;243500;243500;-999
10-5-1928;--:--;243500;243500;-999
11-5-1928;--:--;244000;244000;-999
12-5-1928;--:--;244000;244000;-999
13-5-1928;--:--;243500;243500;-999
14-5-1928;--:--;243500;243500;-999
15-5-1928;--:--;243500;243500;-999
16-5-1928;--:--;244000;244000;-999
17-5-1928;--:--;244500;244500;-999
18-5-1928;--:--;245500;245500;-999
19-5-1928;--:--;246500;246500;-999
20-5-1928;--:--;247000;247000;-999
21-5-1928;--:--;248000;248000;-999
22-5-1928;--:--;249000;249000;-999
23-5-1928;--:--;249500;249500;-999
24-5-1928;--:--;250500;250500;-999
25-5-1928;--:--;250500;250500;-999
26-5-1928;--:--;251000;251000;-999
27-5-1928;--:--;251000;251000;-999
28-5-1928;--:--;251000;251000;-999
29-5-1928;--:--;251000;251000;-999
30-5-1928;--:--;251000;251000;-999
31-5-1928;--:--;251000;251000;-999
1-6-1928;--:--;250000;250000;-999
2-6-1928;--:--;248500;248500;-999
3-6-1928;--:--;248500;248500;-999
4-6-1928;--:--;248500;248500;-999
5-6-1928;--:--;248000;248000;-999
6-6-1928;--:--;247000;247000;-999
7-6-1928;--:--;246000;246000;-999
8-6-1928;--:--;245500;245500;-999
9-6-1928;--:--;244500;244500;-999
10-6-1928;--:--;244000;244000;-999
11-6-1928;--:--;243500;243500;-999
12-6-1928;--:--;243000;243000;-999
13-6-1928;--:--;242000;242000;-999
14-6-1928;--:--;241500;241500;-999
15-6-1928;--:--;241000;241000;-999
16-6-1928;--:--;241000;241000;-999
17-6-1928;--:--;240500;240500;-999
18-6-1928;--:--;240000;240000;-999
19-6-1928;--:--;239500;239500;-999
20-6-1928;--:--;239000;239000;-999
21-6-1928;--:--;238500;238500;-999
22-6-1928;--:--;238000;238000;-999
23-6-1928;--:--;237550;237550;-999
24-6-1928;--:--;237100;237100;-999
25-6-1928;--:--;236650;236650;-999
26-6-1928;--:--;235300;235300;-999
27-6-1928;--:--;233500;233500;-999
28-6-1928;--:--;233050;233050;-999
29-6-1928;--:--;232150;232150;-999
30-6-1928;--:--;230800;230800;-999
1-7-1928;--:--;229450;229450;-999
2-7-1928;--:--;228550;228550;-999
3-7-1928;--:--;228100;228100;-999
4-7-1928;--:--;227200;227200;-999
5-7-1928;--:--;226750;226750;-999
6-7-1928;--:--;225850;225850;-999
7-7-1928;--:--;225400;225400;-999
8-7-1928;--:--;224500;224500;-999
9-7-1928;--:--;224500;224500;-999
10-7-1928;--:--;224050;224050;-999
11-7-1928;--:--;222700;222700;-999
12-7-1928;--:--;221350;221350;-999
13-7-1928;--:--;220000;220000;-999
14-7-1928;--:--;219200;219200;-999
15-7-1928;--:--;218000;218000;-999
16-7-1928;--:--;216800;216800;-999
17-7-1928;--:--;215600;215600;-999
18-7-1928;--:--;214800;214800;-999
19-7-1928;--:--;214000;214000;-999
20-7-1928;--:--;212400;212400;-999
21-7-1928;--:--;211600;211600;-999
22-7-1928;--:--;211200;211200;-999
23-7-1928;--:--;210000;210000;-999
24-7-1928;--:--;209200;209200;-999
25-7-1928;--:--;208000;208000;-999
26-7-1928;--:--;206800;206800;-999
27-7-1928;--:--;204800;204800;-999
28-7-1928;--:--;203200;203200;-999
29-7-1928;--:--;201200;201200;-999
30-7-1928;--:--;199600;199600;-999
31-7-1928;--:--;198800;198800;-999
1-8-1928;--:--;196800;196800;-999
2-8-1928;--:--;195250;195250;-999
3-8-1928;--:--;194500;194500;-999
4-8-1928;--:--;193750;193750;-999
5-8-1928;--:--;192250;192250;-999
6-8-1928;--:--;191125;191125;-999
7-8-1928;--:--;189625;189625;-999
8-8-1928;--:--;189250;189250;-999
9-8-1928;--:--;188150;188150;-999
10-8-1928;--:--;185700;185700;-999
11-8-1928;--:--;184300;184300;-999
12-8-1928;--:--;181500;181500;-999
13-8-1928;--:--;180850;180850;-999
14-8-1928;--:--;178900;178900;-999
15-8-1928;--:--;178250;178250;-999
16-8-1928;--:--;176950;176950;-999
17-8-1928;--:--;175650;175650;-999
18-8-1928;--:--;174175;174175;-999
19-8-1928;--:--;173075;173075;-999
20-8-1928;--:--;172250;172250;-999
21-8-1928;--:--;171425;171425;-999
22-8-1928;--:--;170050;170050;-999
23-8-1928;--:--;168600;168600;-999
24-8-1928;--:--;166800;166800;-999
25-8-1928;--:--;166125;166125;-999
26-8-1928;--:--;164300;164300;-999
27-8-1928;--:--;161850;161850;-999
28-8-1928;--:--;160300;160300;-999
29-8-1928;--:--;159300;159300;-999
30-8-1928;--:--;157500;157500;-999
31-8-1928;--:--;156975;156975;-999
1-9-1928;--:--;155750;155750;-999
2-9-1928;--:--;155050;155050;-999
3-9-1928;--:--;154000;154000;-999
4-9-1928;--:--;153250;153250;-999
5-9-1928;--:--;153000;153000;-999
6-9-1928;--:--;151500;151500;-999
7-9-1928;--:--;149400;149400;-999
8-9-1928;--:--;147500;147500;-999
9-9-1928;--:--;146750;146750;-999
10-9-1928;--:--;145200;145200;-999
11-9-1928;--:--;144000;144000;-999
12-9-1928;--:--;143000;143000;-999
13-9-1928;--:--;142000;142000;-999
14-9-1928;--:--;140750;140750;-999
15-9-1928;--:--;139500;139500;-999
16-9-1928;--:--;138250;138250;-999
17-9-1928;--:--;137000;137000;-999
18-9-1928;--:--;135500;135500;-999
19-9-1928;--:--;133850;133850;-999
20-9-1928;--:--;132500;132500;-999
21-9-1928;--:--;130250;130250;-999
22-9-1928;--:--;128000;128000;-999
23-9-1928;--:--;124500;124500;-999
24-9-1928;--:--;122750;122750;-999
25-9-1928;--:--;121000;121000;-999
26-9-1928;--:--;119000;119000;-999
27-9-1928;--:--;118200;118200;-999
28-9-1928;--:--;117000;117000;-999
29-9-1928;--:--;116200;116200;-999
30-9-1928;--:--;115800;115800;-999
1-10-1928;--:--;115800;115800;-999
2-10-1928;--:--;115800;115800;-999
3-10-1928;--:--;113800;113800;-999
4-10-1928;--:--;113000;113000;-999
5-10-1928;--:--;112600;112600;-999
6-10-1928;--:--;112000;112000;-999
7-10-1928;--:--;111200;111200;-999
8-10-1928;--:--;110400;110400;-999
9-10-1928;--:--;109800;109800;-999
10-10-1928;--:--;106750;106750;-999
11-10-1928;--:--;106750;106750;-999
12-10-1928;--:--;106750;106750;-999
13-10-1928;--:--;107650;107650;-999
14-10-1928;--:--;109000;109000;-999
15-10-1928;--:--;108550;108550;-999
16-10-1928;--:--;109000;109000;-999
17-10-1928;--:--;108100;108100;-999
18-10-1928;--:--;108550;108550;-999
19-10-1928;--:--;108550;108550;-999
20-10-1928;--:--;107650;107650;-999
21-10-1928;--:--;107200;107200;-999
22-10-1928;--:--;106750;106750;-999
23-10-1928;--:--;106300;106300;-999
24-10-1928;--:--;105850;105850;-999
25-10-1928;--:--;105400;105400;-999
26-10-1928;--:--;104500;104500;-999
27-10-1928;--:--;105625;105625;-999
28-10-1928;--:--;106300;106300;-999
29-10-1928;--:--;107650;107650;-999
30-10-1928;--:--;108550;108550;-999
31-10-1928;--:--;110600;110600;-999
1-11-1928;--:--;111000;111000;-999
2-11-1928;--:--;111000;111000;-999
3-11-1928;--:--;110200;110200;-999
4-11-1928;--:--;109800;109800;-999
5-11-1928;--:--;108550;108550;-999
6-11-1928;--:--;107200;107200;-999
7-11-1928;--:--;105850;105850;-999
8-11-1928;--:--;104950;104950;-999
9-11-1928;--:--;104950;104950;-999
10-11-1928;--:--;106525;106525;-999
11-11-1928;--:--;108100;108100;-999
12-11-1928;--:--;108550;108550;-999
13-11-1928;--:--;107650;107650;-999
14-11-1928;--:--;110600;110600;-999
15-11-1928;--:--;110600;110600;-999
16-11-1928;--:--;111400;111400;-999
17-11-1928;--:--;111600;111600;-999
18-11-1928;--:--;111000;111000;-999
19-11-1928;--:--;111000;111000;-999
20-11-1928;--:--;110200;110200;-999
21-11-1928;--:--;107650;107650;-999
22-11-1928;--:--;109000;109000;-999
23-11-1928;--:--;107875;107875;-999
24-11-1928;--:--;109400;109400;-999
25-11-1928;--:--;108775;108775;-999
26-11-1928;--:--;109800;109800;-999
27-11-1928;--:--;110600;110600;-999
28-11-1928;--:--;111200;111200;-999
29-11-1928;--:--;111000;111000;-999
30-11-1928;--:--;112200;112200;-999
1-12-1928;--:--;112600;112600;-999
2-12-1928;--:--;112600;112600;-999
3-12-1928;--:--;112600;112600;-999
4-12-1928;--:--;111600;111600;-999
5-12-1928;--:--;110600;110600;-999
6-12-1928;--:--;109800;109800;-999
7-12-1928;--:--;109800;109800;-999
8-12-1928;--:--;109600;109600;-999
9-12-1928;--:--;110600;110600;-999
10-12-1928;--:--;111400;111400;-999
11-12-1928;--:--;111800;111800;-999
12-12-1928;--:--;113000;113000;-999
13-12-1928;--:--;113400;113400;-999
14-12-1928;--:--;114200;114200;-999
15-12-1928;--:--;116200;116200;-999
16-12-1928;--:--;116200;116200;-999
17-12-1928;--:--;116600;116600;-999
18-12-1928;--:--;117200;117200;-999
19-12-1928;--:--;118000;118000;-999
20-12-1928;--:--;118200;118200;-999
21-12-1928;--:--;117600;117600;-999
22-12-1928;--:--;117000;117000;-999
23-12-1928;--:--;117000;117000;-999
24-12-1928;--:--;117400;117400;-999
25-12-1928;--:--;117400;117400;-999
26-12-1928;--:--;117800;117800;-999
27-12-1928;--:--;118800;118800;-999
28-12-1928;--:--;119600;119600;-999
29-12-1928;--:--;120000;120000;-999
30-12-1928;--:--;120200;120200;-999
31-12-1928;--:--;120600;120600;-999
1-1-1929;--:--;120600;120600;-999
2-1-1929;--:--;120000;120000;-999
3-1-1929;--:--;118600;118600;-999
4-1-1929;--:--;117000;117000;-999
5-1-1929;--:--;115400;115400;-999
6-1-1929;--:--;115600;115600;-999
7-1-1929;--:--;115800;115800;-999
8-1-1929;--:--;116600;116600;-999
9-1-1929;--:--;117400;117400;-999
10-1-1929;--:--;118600;118600;-999
11-1-1929;--:--;120200;120200;-999
12-1-1929;--:--;121350;121350;-999
13-1-1929;--:--;122750;122750;-999
14-1-1929;--:--;124675;124675;-999
15-1-1929;--:--;126250;126250;-999
16-1-1929;--:--;127650;127650;-999
17-1-1929;--:--;128900;128900;-999
18-1-1929;--:--;130100;130100;-999
19-1-1929;--:--;130700;130700;-999
20-1-1929;--:--;131150;131150;-999
21-1-1929;--:--;132200;132200;-999
22-1-1929;--:--;133100;133100;-999
23-1-1929;--:--;134150;134150;-999
24-1-1929;--:--;135800;135800;-999
25-1-1929;--:--;137500;137500;-999
26-1-1929;--:--;139000;139000;-999
27-1-1929;--:--;140250;140250;-999
28-1-1929;--:--;142800;142800;-999
29-1-1929;--:--;143100;143100;-999
30-1-1929;--:--;143700;143700;-999
31-1-1929;--:--;144200;144200;-999
1-2-1929;--:--;144400;144400;-999
2-2-1929;--:--;144400;144400;-999
3-2-1929;--:--;144300;144300;-999
4-2-1929;--:--;144000;144000;-999
5-2-1929;--:--;143800;143800;-999
6-2-1929;--:--;143800;143800;-999
7-2-1929;--:--;143700;143700;-999
8-2-1929;--:--;143800;143800;-999
9-2-1929;--:--;144000;144000;-999
10-2-1929;--:--;144100;144100;-999
11-2-1929;--:--;144200;144200;-999
12-2-1929;--:--;144200;144200;-999
13-2-1929;--:--;144800;144800;-999
14-2-1929;--:--;145200;145200;-999
15-2-1929;--:--;145200;145200;-999
16-2-1929;--:--;145400;145400;-999
17-2-1929;--:--;145400;145400;-999
18-2-1929;--:--;145200;145200;-999
19-2-1929;--:--;145000;145000;-999
20-2-1929;--:--;144700;144700;-999
21-2-1929;--:--;144800;144800;-999
22-2-1929;--:--;145200;145200;-999
23-2-1929;--:--;145300;145300;-999
24-2-1929;--:--;145600;145600;-999
25-2-1929;--:--;145800;145800;-999
26-2-1929;--:--;146500;146500;-999
27-2-1929;--:--;146500;146500;-999
28-2-1929;--:--;146500;146500;-999
1-3-1929;--:--;146750;146750;-999
2-3-1929;--:--;146750;146750;-999
3-3-1929;--:--;146750;146750;-999
4-3-1929;--:--;146500;146500;-999
5-3-1929;--:--;146125;146125;-999
6-3-1929;--:--;146000;146000;-999
7-3-1929;--:--;146250;146250;-999
8-3-1929;--:--;147000;147000;-999
9-3-1929;--:--;147500;147500;-999
10-3-1929;--:--;148250;148250;-999
11-3-1929;--:--;149250;149250;-999
12-3-1929;--:--;150600;150600;-999
13-3-1929;--:--;151500;151500;-999
14-3-1929;--:--;152500;152500;-999
15-3-1929;--:--;153500;153500;-999
16-3-1929;--:--;154350;154350;-999
17-3-1929;--:--;154700;154700;-999
18-3-1929;--:--;155050;155050;-999
19-3-1929;--:--;154700;154700;-999
20-3-1929;--:--;154700;154700;-999
21-3-1929;--:--;155050;155050;-999
22-3-1929;--:--;155575;155575;-999
23-3-1929;--:--;157700;157700;-999
24-3-1929;--:--;158300;158300;-999
25-3-1929;--:--;159500;159500;-999
26-3-1929;--:--;161300;161300;-999
27-3-1929;--:--;162200;162200;-999
28-3-1929;--:--;163250;163250;-999
29-3-1929;--:--;164475;164475;-999
30-3-1929;--:--;166125;166125;-999
31-3-1929;--:--;167250;167250;-999
1-4-1929;--:--;168150;168150;-999
2-4-1929;--:--;169500;169500;-999
3-4-1929;--:--;170875;170875;-999
4-4-1929;--:--;172250;172250;-999
5-4-1929;--:--;173625;173625;-999
6-4-1929;--:--;175325;175325;-999
7-4-1929;--:--;177275;177275;-999
8-4-1929;--:--;179550;179550;-999
9-4-1929;--:--;182200;182200;-999
10-4-1929;--:--;185000;185000;-999
11-4-1929;--:--;187100;187100;-999
12-4-1929;--:--;190750;190750;-999
13-4-1929;--:--;193750;193750;-999
14-4-1929;--:--;195250;195250;-999
15-4-1929;--:--;198000;198000;-999
16-4-1929;--:--;199200;199200;-999
17-4-1929;--:--;200400;200400;-999
18-4-1929;--:--;201600;201600;-999
19-4-1929;--:--;203200;203200;-999
20-4-1929;--:--;204000;204000;-999
21-4-1929;--:--;204800;204800;-999
22-4-1929;--:--;206400;206400;-999
23-4-1929;--:--;208000;208000;-999
24-4-1929;--:--;208800;208800;-999
25-4-1929;--:--;211200;211200;-999
26-4-1929;--:--;212000;212000;-999
27-4-1929;--:--;212000;212000;-999
28-4-1929;--:--;213600;213600;-999
29-4-1929;--:--;214400;214400;-999
30-4-1929;--:--;216000;216000;-999
1-5-1929;--:--;217200;217200;-999
2-5-1929;--:--;217600;217600;-999
3-5-1929;--:--;218400;218400;-999
4-5-1929;--:--;218400;218400;-999
5-5-1929;--:--;219600;219600;-999
6-5-1929;--:--;220900;220900;-999
7-5-1929;--:--;222250;222250;-999
8-5-1929;--:--;224500;224500;-999
9-5-1929;--:--;225400;225400;-999
10-5-1929;--:--;228100;228100;-999
11-5-1929;--:--;229000;229000;-999
12-5-1929;--:--;232150;232150;-999
13-5-1929;--:--;232600;232600;-999
14-5-1929;--:--;235300;235300;-999
15-5-1929;--:--;236200;236200;-999
16-5-1929;--:--;237550;237550;-999
17-5-1929;--:--;238000;238000;-999
18-5-1929;--:--;238000;238000;-999
19-5-1929;--:--;238000;238000;-999
20-5-1929;--:--;239000;239000;-999
21-5-1929;--:--;238000;238000;-999
22-5-1929;--:--;240000;240000;-999
23-5-1929;--:--;240000;240000;-999
24-5-1929;--:--;241000;241000;-999
25-5-1929;--:--;241500;241500;-999
26-5-1929;--:--;243000;243000;-999
27-5-1929;--:--;243500;243500;-999
28-5-1929;--:--;243000;243000;-999
29-5-1929;--:--;243000;243000;-999
30-5-1929;--:--;243000;243000;-999
31-5-1929;--:--;244000;244000;-999
1-6-1929;--:--;244000;244000;-999
2-6-1929;--:--;243000;243000;-999
3-6-1929;--:--;242500;242500;-999
4-6-1929;--:--;243000;243000;-999
5-6-1929;--:--;243500;243500;-999
6-6-1929;--:--;243500;243500;-999
7-6-1929;--:--;243000;243000;-999
8-6-1929;--:--;245000;245000;-999
9-6-1929;--:--;246000;246000;-999
10-6-1929;--:--;246000;246000;-999
11-6-1929;--:--;246500;246500;-999
12-6-1929;--:--;247000;247000;-999
13-6-1929;--:--;247000;247000;-999
14-6-1929;--:--;246000;246000;-999
15-6-1929;--:--;245500;245500;-999
16-6-1929;--:--;245500;245500;-999
17-6-1929;--:--;245000;245000;-999
18-6-1929;--:--;245000;245000;-999
19-6-1929;--:--;244000;244000;-999
20-6-1929;--:--;243000;243000;-999
21-6-1929;--:--;243000;243000;-999
22-6-1929;--:--;241500;241500;-999
23-6-1929;--:--;241000;241000;-999
24-6-1929;--:--;239000;239000;-999
25-6-1929;--:--;238500;238500;-999
26-6-1929;--:--;238000;238000;-999
27-6-1929;--:--;237100;237100;-999
28-6-1929;--:--;236200;236200;-999
29-6-1929;--:--;235300;235300;-999
30-6-1929;--:--;234400;234400;-999
1-7-1929;--:--;232600;232600;-999
2-7-1929;--:--;231700;231700;-999
3-7-1929;--:--;231250;231250;-999
4-7-1929;--:--;229450;229450;-999
5-7-1929;--:--;229000;229000;-999
6-7-1929;--:--;229000;229000;-999
7-7-1929;--:--;228100;228100;-999
8-7-1929;--:--;227200;227200;-999
9-7-1929;--:--;228100;228100;-999
10-7-1929;--:--;227650;227650;-999
11-7-1929;--:--;226300;226300;-999
12-7-1929;--:--;225400;225400;-999
13-7-1929;--:--;223600;223600;-999
14-7-1929;--:--;222700;222700;-999
15-7-1929;--:--;220450;220450;-999
16-7-1929;--:--;218000;218000;-999
17-7-1929;--:--;217600;217600;-999
18-7-1929;--:--;216000;216000;-999
19-7-1929;--:--;213600;213600;-999
20-7-1929;--:--;212800;212800;-999
21-7-1929;--:--;212800;212800;-999
22-7-1929;--:--;212400;212400;-999
23-7-1929;--:--;210400;210400;-999
24-7-1929;--:--;207600;207600;-999
25-7-1929;--:--;205600;205600;-999
26-7-1929;--:--;204800;204800;-999
27-7-1929;--:--;203200;203200;-999
28-7-1929;--:--;202000;202000;-999
29-7-1929;--:--;200800;200800;-999
30-7-1929;--:--;199600;199600;-999
31-7-1929;--:--;197600;197600;-999
1-8-1929;--:--;196000;196000;-999
2-8-1929;--:--;194875;194875;-999
3-8-1929;--:--;193750;193750;-999
4-8-1929;--:--;193000;193000;-999
5-8-1929;--:--;192250;192250;-999
6-8-1929;--:--;191500;191500;-999
7-8-1929;--:--;191500;191500;-999
8-8-1929;--:--;190750;190750;-999
9-8-1929;--:--;190375;190375;-999
10-8-1929;--:--;189250;189250;-999
11-8-1929;--:--;188500;188500;-999
12-8-1929;--:--;187100;187100;-999
13-8-1929;--:--;185350;185350;-999
14-8-1929;--:--;182900;182900;-999
15-8-1929;--:--;180525;180525;-999
16-8-1929;--:--;178900;178900;-999
17-8-1929;--:--;178250;178250;-999
18-8-1929;--:--;176950;176950;-999
19-8-1929;--:--;175325;175325;-999
20-8-1929;--:--;174175;174175;-999
21-8-1929;--:--;172800;172800;-999
22-8-1929;--:--;171975;171975;-999
23-8-1929;--:--;171425;171425;-999
24-8-1929;--:--;170875;170875;-999
25-8-1929;--:--;170325;170325;-999
26-8-1929;--:--;169775;169775;-999
27-8-1929;--:--;169050;169050;-999
28-8-1929;--:--;168150;168150;-999
29-8-1929;--:--;166800;166800;-999
30-8-1929;--:--;165675;165675;-999
31-8-1929;--:--;164650;164650;-999
1-9-1929;--:--;163600;163600;-999
2-9-1929;--:--;162900;162900;-999
3-9-1929;--:--;162725;162725;-999
4-9-1929;--:--;162200;162200;-999
5-9-1929;--:--;161675;161675;-999
6-9-1929;--:--;161100;161100;-999
7-9-1929;--:--;160300;160300;-999
8-9-1929;--:--;159300;159300;-999
9-9-1929;--:--;158300;158300;-999
10-9-1929;--:--;156975;156975;-999
11-9-1929;--:--;155400;155400;-999
12-9-1929;--:--;153875;153875;-999
13-9-1929;--:--;153250;153250;-999
14-9-1929;--:--;152625;152625;-999
15-9-1929;--:--;151500;151500;-999
16-9-1929;--:--;150000;150000;-999
17-9-1929;--:--;149700;149700;-999
18-9-1929;--:--;148250;148250;-999
19-9-1929;--:--;147500;147500;-999
20-9-1929;--:--;146875;146875;-999
21-9-1929;--:--;145500;145500;-999
22-9-1929;--:--;144400;144400;-999
23-9-1929;--:--;143700;143700;-999
24-9-1929;--:--;143000;143000;-999
25-9-1929;--:--;142300;142300;-999
26-9-1929;--:--;141750;141750;-999
27-9-1929;--:--;140000;140000;-999
28-9-1929;--:--;138625;138625;-999
29-9-1929;--:--;137500;137500;-999
30-9-1929;--:--;136400;136400;-999
1-10-1929;--:--;134900;134900;-999
2-10-1929;--:--;132800;132800;-999
3-10-1929;--:--;131600;131600;-999
4-10-1929;--:--;130700;130700;-999
5-10-1929;--:--;129500;129500;-999
6-10-1929;--:--;128600;128600;-999
7-10-1929;--:--;128000;128000;-999
8-10-1929;--:--;126250;126250;-999
9-10-1929;--:--;124325;124325;-999
10-10-1929;--:--;123275;123275;-999
11-10-1929;--:--;121350;121350;-999
12-10-1929;--:--;119000;119000;-999
13-10-1929;--:--;116000;116000;-999
14-10-1929;--:--;113400;113400;-999
15-10-1929;--:--;111200;111200;-999
16-10-1929;--:--;110400;110400;-999
17-10-1929;--:--;108775;108775;-999
18-10-1929;--:--;108550;108550;-999
19-10-1929;--:--;109000;109000;-999
20-10-1929;--:--;109000;109000;-999
21-10-1929;--:--;109400;109400;-999
22-10-1929;--:--;108775;108775;-999
23-10-1929;--:--;109000;109000;-999
24-10-1929;--:--;107200;107200;-999
25-10-1929;--:--;105625;105625;-999
26-10-1929;--:--;102925;102925;-999
27-10-1929;--:--;100900;100900;-999
28-10-1929;--:--;100000;100000;-999
